period,country,sex,age,agecode,prev
2013 to 2015,England,Female,45 to 49,11,0.787366057273958
2013 to 2015,England,Female,50 to 54,12,0.753129158342267
2013 to 2015,England,Female,55 to 59,13,0.716107126318043
2013 to 2015,England,Female,60 to 64,14,0.679349358448577
2013 to 2015,England,Female,65 to 69,15,0.636981581461629
2013 to 2015,England,Female,70 to 74,16,0.587283661829038
2013 to 2015,England,Female,75 to 79,17,0.53003838962194
2013 to 2015,England,Female,80 to 84,18,0.468824729250152
2013 to 2015,England,Female,85 to 89,19,0.407730423880794
2013 to 2015,England,Female,90+,20,0.331219361413687
2014 to 2016,England,Male,<1,1,0.948975181000236
2014 to 2016,England,Male,01 to 04,2,0.947703079245569
2014 to 2016,England,Male,05 to 09,3,0.944692206491321
2014 to 2016,England,Male,10 to 14,4,0.939400879275712
2014 to 2016,England,Male,15 to 19,5,0.930096086248064
2014 to 2016,England,Male,20 to 24,6,0.915500152851751
2014 to 2016,England,Male,25 to 29,7,0.901310329273237
2014 to 2016,England,Male,30 to 34,8,0.88384920931207
2014 to 2016,England,Male,35 to 39,9,0.861447913492524
2014 to 2016,England,Male,40 to 44,10,0.835076915886981
2014 to 2016,England,Male,45 to 49,11,0.804665610175965
2014 to 2016,England,Male,50 to 54,12,0.769196816539665
2014 to 2016,England,Male,55 to 59,13,0.728949787805358
2014 to 2016,England,Male,60 to 64,14,0.685935357126999
2014 to 2016,England,Male,65 to 69,15,0.643999046527976
2014 to 2016,England,Male,70 to 74,16,0.596553377341024
2014 to 2016,England,Male,75 to 79,17,0.540988869777184
2014 to 2016,England,Male,80 to 84,18,0.48017753847357
2014 to 2016,England,Male,85 to 89,19,0.417333620704671
2014 to 2016,England,Male,90+,20,0.339918647403665
2014 to 2016,England,Female,<1,1,0.938152403781604
2014 to 2016,England,Female,01 to 04,2,0.936501690366735
2014 to 2016,England,Female,05 to 09,3,0.932504404400476
2014 to 2016,England,Female,10 to 14,4,0.925119222194867
2014 to 2016,England,Female,15 to 19,5,0.910160286395514
2014 to 2016,England,Female,20 to 24,6,0.894220362368773
2014 to 2016,England,Female,25 to 29,7,0.880568194865394
2014 to 2016,England,Female,30 to 34,8,0.863252247696769
2014 to 2016,England,Female,35 to 39,9,0.840569807341547
2014 to 2016,England,Female,40 to 44,10,0.814562859387268
2014 to 2016,England,Female,45 to 49,11,0.784533964475686
2014 to 2016,England,Female,50 to 54,12,0.751356496605783
2014 to 2016,England,Female,55 to 59,13,0.715999577939325
2014 to 2016,England,Female,60 to 64,14,0.68148917839543
2014 to 2016,England,Female,65 to 69,15,0.641857504513876
2014 to 2016,England,Female,70 to 74,16,0.594067655676271
2014 to 2016,England,Female,75 to 79,17,0.536636437363788
2014 to 2016,England,Female,80 to 84,18,0.474364034019794
2014 to 2016,England,Female,85 to 89,19,0.412834706007428
2014 to 2016,England,Female,90+,20,0.341637804861688
2015 to 2017,England,Male,<1,1,0.947947704337785
2015 to 2017,England,Male,01 to 04,2,0.946595712059249
2015 to 2017,England,Male,05 to 09,3,0.943316561471037
