period,country,sex,agecode,age,pi,LE,HLE,u,rho,lx,Lx
2013 to 2015,Scotland,Male,12,50 to 54,0.769017325321355,29.6875,19.0,5.600804806647023,0.9479280043835687,0.9862249385847991,5.523653376460908
2013 to 2015,Scotland,Male,13,55 to 59,0.727382836276707,25.40983606557377,15.5,5.172210694439528,0.9465986060691822,0.9348702379059962,4.83534584241062
2013 to 2015,Scotland,Male,14,60 to 64,0.678622037793109,21.379310344827587,12.4,3.6046101959764947,1.0261682560161456,0.8849468640573808,3.1898884890786596
2013 to 2015,Scotland,Male,15,65 to 69,0.641668653754646,17.32142857142857,9.7,5.694623236765173,0.8397137186145787,0.9081043801567195,5.171312304648689
2013 to 2015,Scotland,Male,16,70 to 74,0.596997261759775,13.846153846153847,7.2,3.88219855866234,0.9389111713213151,0.7625477059515859,2.960361604956521
2013 to 2015,Scotland,Male,17,75 to 79,0.543481603720477,10.612244897959183,5.2,4.540891245165748,0.780602612502013,0.7159645597833852,3.2511172013693233
2013 to 2015,Scotland,Male,18,80 to 84,0.484199681566548,7.777777777777778,3.5,4.192890111422956,0.6390451926980335,0.5588838058257642,2.3433383828812744
2013 to 2015,Scotland,Male,19,85 to 89,0.424903146395436,5.609756097560975,2.3,3.7479040209069714,0.4716691927523476,0.35715200938973585,1.3385714520667953
2013 to 2015,Scotland,Male,20,90+,0.376216910943193,3.9473684210526314,1.5,3.9473684210526314,0.0,0.16845759995873558,0.6649642103634299
2013 to 2015,United Kingdom,Female,1,<1,0.941308009098127,82.98701298701299,63.9,-2.842170943040401e-14,1.0110759493670889,1.0,-2.842170943040401e-14
2013 to 2015,United Kingdom,Female,2,01 to 04,0.94002022619429,82.07792207792208,63.2,4.559372233503268,0.9901529055757697,1.0110759493670889,4.609871609507262
2013 to 2015,United Kingdom,Female,3,05 to 09,0.936309767946339,78.28947368421052,59.5,4.2021132089413555,1.0139693495702897,1.001119789023603,4.206818689188665
2013 to 2015,United Kingdom,Female,4,10 to 14,0.92915153032308,73.06666666666666,54.8,3.862864156682477,1.0201357342109223,1.0151047813182084,3.921211875031111
2013 to 2015,United Kingdom,Female,5,15 to 19,0.915917094145599,67.83783783783784,50.2,6.9251576166624105,0.9617791613869804,1.0355446613910682,7.171309999226453
2013 to 2015,United Kingdom,Female,6,20 to 24,0.900561903829136,63.333333333333336,45.6,3.323504439277599,1.0341499639509606,0.9959652760114661,3.3100950161904468
2013 to 2015,United Kingdom,Female,7,25 to 29,0.885246667118788,58.028169014084504,41.2,5.944088047226998,0.9765765181285784,1.0299774542836662,6.1222766749208315
2013 to 2015,United Kingdom,Female,8,30 to 34,0.866453891486399,53.33333333333333,36.8,5.429603142987439,0.9845245161819555,1.0058517960552797,5.461376073241308
2013 to 2015,United Kingdom,Female,9,35 to 39,0.842876081167365,48.656716417910445,32.6,5.045386252501636,0.9946443721935343,0.9902857528620752,4.996374123538547
2013 to 2015,United Kingdom,Female,10,40 to 44,0.815875492016392,43.84615384615385,28.5,4.717798282119631,1.006157714503737,0.9849821509477003,4.64694709965956
2013 to 2015,United Kingdom,Female,11,45 to 49,0.785176908502717,38.888888888888886,24.5,4.439956067415785,1.0102812029374322,0.991047389824513,4.4002068715479234
2013 to 2015,United Kingdom,Female,12,50 to 54,0.750853173364807,34.09836065573771,20.8,5.98730945130248,0.9424514276631464,1.0012365491599113,5.994713053774617
2013 to 2015,United Kingdom,Female,13,55 to 59,0.713733819721829,29.82758620689655,17.3,3.880419579877426,1.037886665080765,0.9436168151842805,3.6616291655426605
2013 to 2015,United Kingdom,Female,14,60 to 64,0.676639534634653,25.0,14.0,5.114582516022004,0.958115569682576,0.9793673094257455,5.0090549175524295
2013 to 2015,United Kingdom,Female,15,65 to 69,0.634291734271214,20.754716981132077,11.0,5.753542872281523,0.8856114835345507,0.9383470675989398,5.398820082510149
2013 to 2015,United Kingdom,Female,16,70 to 74,0.585078737733343,16.938775510204085,8.3,4.062746990535523,0.9871621865079232,0.8310109386065924,3.376187189926033
2013 to 2015,United Kingdom,Female,17,75 to 79,0.528868156261962,13.043478260869565,6.0,4.792394290019548,0.8663638169392518,0.8203425751668852,3.9314050730897123
2013 to 2015,United Kingdom,Female,18,80 to 84,0.468788154430848,9.523809523809524,4.0,4.290576635975497,0.7648571143757423,0.7107151246193578,3.0493777085262304
2013 to 2015,United Kingdom,Female,19,85 to 89,0.408505391463747,6.842105263157895,2.6,4.357729536523307,0.5124024936183837,0.5435955193595581,2.368842250634873
2013 to 2015,United Kingdom,Female,20,90+,0.331864512867144,4.848484848484849,1.6,4.848484848484849,0.0,0.27853969963961794,1.3504955134042083
2013 to 2015,United Kingdom,Male,1,<1,0.949113990271778,78.75,63.0,4.949281949719847,0.9358357505573246,1.0,4.949281949719847
2013 to 2015,United Kingdom,Male,2,01 to 04,0.947667575445889,78.86075949367088,62.3,4.263256414560601e-14,1.0649572649572645,0.9358357505573246,3.9897077665386486e-14
2013 to 2015,United Kingdom,Male,3,05 to 09,0.944616422355825,74.0506329113924,58.5,8.48151988367924,0.938442695749798,0.9966250813627572,8.452895444151666
2013 to 2015,United Kingdom,Male,4,10 to 14,0.939310441957312,69.87012987012987,53.8,3.8966012858728902,1.0191032870738883,0.9352755280059276,3.6443958250733437
2013 to 2015,United Kingdom,Male,5,15 to 19,0.930137523445894,64.73684210526316,49.2,3.593745537681208,1.0281910857777234,0.9531423649106073,3.425351120672409
2013 to 2015,United Kingdom,Male,6,20 to 24,0.915559321854353,59.46666666666667,44.6,6.4094507430181835,0.9658794918768926,0.9800124830781844,6.281341737832564
2013 to 2015,United Kingdom,Male,7,25 to 29,0.901003876543149,54.93150684931507,40.1,5.751873505761637,0.978082343807365,0.9465739591885686,5.444573677100625
2013 to 2015,United Kingdom,Male,8,30 to 34,0.883162554745785,50.28169014084508,35.7,2.7451948467650524,1.0597307868107013,0.9258272765901723,2.5415762686898637
2013 to 2015,United Kingdom,Male,9,35 to 39,0.86033027420628,44.857142857142854,31.4,4.974998574652034,0.9934013960473903,0.981127668271712,4.881108751203441
2013 to 2015,United Kingdom,Male,10,40 to 44,0.833663238801671,40.14705882352941,27.3,6.557718205146472,0.9330372393995261,0.9746535953618396,6.3915036260157985
2013 to 2015,United Kingdom,Male,11,45 to 49,0.803131805539532,36.0,23.4,4.158681287682857,1.0234709586101938,0.9093880999872336,3.781855274658375
2013 to 2015,United Kingdom,Male,12,50 to 54,0.767128887956591,31.111111111111114,19.6,5.584512317079199,0.9513018184111272,0.9307323104426367,5.197686051570485
2013 to 2015,United Kingdom,Male,13,55 to 59,0.725964079872702,26.833333333333336,16.1,5.161444870235755,0.9575950716252419,0.88540733937807,4.569981169902028
2013 to 2015,United Kingdom,Male,14,60 to 64,0.682152698777444,22.63157894736842,12.9,3.4250649675315223,1.045899276129732,0.8478617045692579,2.9039814216317263
2013 to 2015,United Kingdom,Male,15,65 to 69,0.640313872881871,18.363636363636363,10.1,5.636740266412895,0.8654289346111959,0.8867779430671077,4.998536939053167
2013 to 2015,United Kingdom,Male,16,70 to 74,0.592134652555693,14.705882352941176,7.5,4.816284992086205,0.877002030113554,0.7674432905052747,3.6962256023378077
2013 to 2015,United Kingdom,Male,17,75 to 79,0.536368743980535,11.27659574468085,5.3,4.240567415835767,0.8404144948342738,0.6730493237701519,2.8541110316300036
2013 to 2015,United Kingdom,Male,18,80 to 84,0.475647232190528,8.372093023255815,3.6,3.9100355302231025,0.7566097488185904,0.5656404074348418,2.2116740904001033
2013 to 2015,United Kingdom,Male,19,85 to 89,0.413425996806351,5.897435897435897,2.3,4.0159045528448285,0.45694332654354525,0.4279690465909208,1.7186828426811394
2013 to 2015,United Kingdom,Male,20,90+,0.338356835452191,4.117647058823529,1.4,4.117647058823529,0.0,0.19555759980692483,0.8052371756755727
2013 to 2015,Wales,Female,1,<1,0.932471861038322,82.23684210526316,62.5,-5.684341886080802e-14,1.0113268608414248,1.0,-5.684341886080802e-14
2013 to 2015,Wales,Female,2,01 to 04,0.931037888884462,81.3157894736842,61.8,4.491644813952661,0.991705826072266,1.0113268608414248,4.54252104970941
2013 to 2015,Wales,Female,3,05 to 09,0.925951483269477,77.46666666666667,58.1,4.165961212280465,1.013878916565342,1.0029387399598166,4.178203888966039
2013 to 2015,Wales,Female,4,10 to 14,0.917297613875332,72.29729729729729,53.5,7.328755363760379,0.9565920284692552,1.0168584430518681,7.452306768701407
2013 to 2015,Wales,Female,5,15 to 19,0.905512071998081,67.91666666666667,48.9,3.4737837910762295,1.0305055594970545,0.9727186807050752,3.3790143863103443
2013 to 2015,Wales,Female,6,20 to 24,0.890569791181819,62.53521126760563,44.4,6.235755733615605,0.971165607961328,1.00239200829322,6.250671713044908
2013 to 2015,Wales,Female,7,25 to 29,0.872440858751116,57.971014492753625,40.0,3.0124067658484037,1.0468306233696232,0.9734886441496616,2.93254377811303
2013 to 2015,Wales,Female,8,30 to 34,0.851147179138445,52.50000000000001,35.7,5.493149335149226,0.9849054425016355,1.0190777241984394,5.597946123146045
2013 to 2015,Wales,Female,9,35 to 39,0.826708435525701,47.72727272727273,31.5,5.112492383420239,0.991762160729658,1.0036951968952237,5.131384049402309
2013 to 2015,Wales,Female,10,40 to 44,0.799110588161322,42.96875,27.5,4.798013388387609,0.998559354396611,0.9954269171867866,4.776071675823606
2013 to 2015,Wales,Female,11,45 to 49,0.768359598534288,38.225806451612904,23.7,6.429562540913274,0.9379891953656391,0.9939928597750464,6.390939257144899
2013 to 2015,Wales,Female,12,50 to 54,0.734462005961743,33.898305084745765,20.0,4.122326598963053,1.0224281769214545,0.9323545627395863,3.843470013645963
2013 to 2015,Wales,Female,13,55 to 59,0.697410079783898,29.122807017543863,16.6,5.550370165149275,0.9428974740957835,0.9532655758262351,5.290976811529779
2013 to 2015,Wales,Female,14,60 to 64,0.657156641627347,25.0,13.5,3.645466920650442,1.0475808680435632,0.8988317035890196,3.276661242665654
2013 to 2015,Wales,Female,15,65 to 69,0.613766341825565,20.384615384615383,10.6,4.941072447631667,0.9459170048902527,0.9415988962708599,4.652508363084334
2013 to 2015,Wales,Female,16,70 to 74,0.567244975414871,16.3265306122449,8.0,5.57005724278538,0.8345539683201351,0.8906744077684995,4.961107435954509
2013 to 2015,Wales,Female,17,75 to 79,0.517595231229398,12.88888888888889,5.8,3.961942215781061,0.9613634878731506,0.7433158614843873,2.944974491274662
2013 to 2015,Wales,Female,18,80 to 84,0.464785224265155,9.285714285714286,3.9,4.898292090198647,0.6493384849363146,0.7145967291880663,3.5003035062637298
2013 to 2015,Wales,Female,19,85 to 89,0.408779992056648,6.756756756756757,2.5,3.805337554234889,0.6296360965379986,0.46401515747142486,1.7657343044602287
2013 to 2015,Wales,Female,20,90+,0.324944824877218,4.6875,1.5,4.6875,0.0,0.29216069248477267,1.369503246022372
2013 to 2015,Wales,Male,1,<1,0.945775084215202,78.46153846153847,61.2,-4.263256414560601e-14,1.0115702479338848,1.0,-4.263256414560601e-14
2013 to 2015,Wales,Male,2,01 to 04,0.943274925046784,77.56410256410257,60.5,4.476360474151676,0.9908021374870103,1.0115702479338848,4.528153074679053
2013 to 2015,Wales,Male,3,05 to 09,0.938499043879742,73.76623376623377,56.8,4.13258425159583,1.01576916758397,1.002265963871158,4.1419485382044625
2013 to 2015,Wales,Male,4,10 to 14,0.931249038293794,68.55263157894737,52.1,7.168938697996268,0.9562933206716592,1.0180708638191514,7.298487612935602
2013 to 2015,Wales,Male,5,15 to 19,0.920344045988068,64.1891891891892,47.5,3.372271974990639,1.0324732457294172,0.9735743670406808,3.283157553540538
2013 to 2015,Wales,Male,6,20 to 24,0.903945314285275,58.9041095890411,43.0,6.074300872502498,0.9717400048896997,1.0051894866974547,6.105823376076687
2013 to 2015,Wales,Male,7,25 to 29,0.88683349818398,54.36619718309859,38.6,2.9098741773577856,1.050129040933486,0.9767828367184593,2.842315153453331
2013 to 2015,Wales,Male,8,30 to 34,0.86664878704298,48.99999999999999,34.3,5.250502912587017,0.9883607315428845,1.0257480235234455,5.385692985090226
2013 to 2015,Wales,Male,9,35 to 39,0.842559294185702,44.26470588235294,30.1,4.849351119568425,0.9967101204382292,1.0138090669083004,4.916316133640387
2013 to 2015,Wales,Male,10,40 to 44,0.815614560398385,39.54545454545455,26.1,6.391544035216548,0.9366351399753335,1.0104737571795408,6.458487515443748
2013 to 2015,Wales,Male,11,45 to 49,0.784122527024857,35.3968253968254,22.3,4.065737616106656,1.022030136162483,0.9464452289972604,3.8479979691188393
2013 to 2015,Wales,Male,12,50 to 54,0.747696743216358,30.65573770491803,18.7,5.484138293377612,0.9542174940322512,0.9672955462624024,5.304782546271256
2013 to 2015,Wales,Male,13,55 to 59,0.703084886556176,26.379310344827587,15.3,5.169545656320711,0.9561779162851459,0.9230103321430672,4.77154405326933
2013 to 2015,Wales,Male,14,60 to 64,0.655786485571006,22.181818181818183,12.2,4.90074209267728,0.945911533300344,0.8825620960982185,4.32520921375003
2013 to 2015,Wales,Male,15,65 to 69,0.613719887198152,18.26923076923077,9.5,4.4299824020944385,0.9687473856995431,0.8348256655530314,3.698263007216706
2013 to 2015,Wales,Male,16,70 to 74,0.566228284672372,14.285714285714286,7.0,4.916432975323797,0.8432353179351441,0.8087351810193802,3.9760923122681415
2013 to 2015,Wales,Male,17,75 to 79,0.511604849298096,11.11111111111111,5.0,4.374244413674587,0.8123868664555808,0.6819540674922134,2.983033770110477
2013 to 2015,Wales,Male,18,80 to 84,0.455132486513671,8.292682926829269,3.4,3.896365895760642,0.7745891911882818,0.554010527956637,2.158627727022588
2013 to 2015,Wales,Male,19,85 to 89,0.394736123577377,5.675675675675675,2.1,3.506960480197263,0.5505200111599047,0.42913056675972444,1.5049439384710068
2013 to 2015,Wales,Male,20,90+,0.326786593093861,3.9393939393939394,1.3,3.9393939393939394,0.0,0.2362449644016197,0.9306619809760777
2014 to 2016,England,Female,1,<1,0.938152403781604,83.11688311688312,64.0,-1.4210854715202004e-14,1.0110584518167458,1.0,-1.4210854715202004e-14
2014 to 2016,England,Female,2,01 to 04,0.936501690366735,82.20779220779221,63.3,4.657620674169223,0.9888948047911656,1.0110584518167458,4.709126747975203
2014 to 2016,England,Female,3,05 to 09,0.932504404400476,78.42105263157895,59.6,4.296940278739626,1.0107833502659909,0.999830450341779,4.29621173398397
2014 to 2016,England,Female,4,10 to 14,0.925119222194867,73.33333333333333,55.0,3.961411055203115,1.0185560017027055,1.0106119722944178,4.0034494395677305
2014 to 2016,England,Female,5,15 to 19,0.910160286395514,68.10810810810811,50.4,7.163231545250184,0.9559980637311047,1.0293648897730876,7.37357904999556
2014 to 2016,England,Female,6,20 to 24,0.894220362368773,63.75,45.9,3.460529508262752,1.033949856259262,0.9840708414958538,3.4054061852173594
2014 to 2016,England,Female,7,25 to 29,0.880568194865394,58.309859154929576,41.4,6.119579313443779,0.9706548002863935,1.017479905113569,6.226548979177736
2014 to 2016,England,Female,8,30 to 34,0.863252247696769,53.768115942028984,37.1,5.564552711065623,0.9816531113904393,0.9876217540934299,5.495673309247982
2014 to 2016,England,Female,9,35 to 39,0.840569807341547,49.1044776119403,32.9,5.153437293866112,0.9919505627343131,0.9695019677826988,4.996267597247942
2014 to 2016,England,Female,10,40 to 44,0.814562859387268,44.30769230769231,28.8,4.801366044586651,1.0035881268450226,0.961698022514072,4.617464230445194
2014 to 2016,England,Female,11,45 to 49,0.784533964475686,39.36507936507937,24.8,4.510878955088778,1.0076332819949887,0.9651487170054599,4.353669036070864
2014 to 2016,England,Female,12,50 to 54,0.751356496605783,34.59016393442623,21.1,4.287421289139054,1.015830577313604,0.9725159693294642,4.169585670930848
2014 to 2016,England,Female,13,55 to 59,0.715999577939325,29.830508474576273,17.6,5.736651765720527,0.9435356473398054,0.9879114585706488,5.667304013184854
2014 to 2016,England,Female,14,60 to 64,0.68148917839543,25.535714285714285,14.3,5.056938302033444,0.9605089620664465,0.9321296775768685,4.713722269000551
2014 to 2016,England,Female,15,65 to 69,0.641857504513876,21.32075471698113,11.3,4.508909441917254,0.9889320750037576,0.8953189091206895,4.036911882861332
2014 to 2016,England,Female,16,70 to 74,0.594067655676271,17.0,8.5,5.072066014505204,0.8994835464471486,0.8854095865868241,4.490855873044133
2014 to 2016,England,Female,17,75 to 79,0.536636437363788,13.26086956521739,6.1,4.547762213914977,0.8925622164748814,0.7964113550014202,3.6218894670082857
2014 to 2016,England,Female,18,80 to 84,0.474364034019794,9.761904761904761,4.1,4.137976873628392,0.8219586913634693,0.7108466842458313,2.941467140104674
2014 to 2016,England,Female,19,85 to 89,0.412834706007428,6.842105263157895,2.6,3.757607128920166,0.6554558535255174,0.5842866103427647,2.1955195323565717
2014 to 2016,England,Female,20,90+,0.341637804861688,4.705882352941177,1.6,4.705882352941177,0.0,0.38297407888574825,1.8022309594623447
2014 to 2016,England,Male,1,<1,0.948975181000236,79.125,63.3,4.977192005831554,0.9357311232490906,1.0,4.977192005831554
2014 to 2016,England,Male,2,01 to 04,0.947703079245569,79.24050632911393,62.6,4.263256414560601e-14,1.0646258503401356,0.9357311232490906,3.989261713495682e-14
2014 to 2016,England,Male,3,05 to 09,0.944692206491321,74.43037974683544,58.8,8.521316576367454,0.9380772392099881,0.9962035427787933,8.488965762516916
2014 to 2016,England,Male,4,10 to 14,0.939400879275712,70.25974025974025,54.1,3.9163542867458716,1.0186055220096106,0.9345158691011397,3.6598952299862924
2014 to 2016,England,Male,5,15 to 19,0.930096086248064,65.13157894736842,49.5,3.6164905248221544,1.0275348845636905,0.9519030246720314,3.442548269275951
2014 to 2016,England,Male,6,20 to 24,0.915500152851751,59.86666666666667,44.9,6.454621815272681,0.9651186322157824,0.9781135645722036,6.313353151701869
2014 to 2016,England,Male,7,25 to 29,0.901310329273237,55.342465753424655,40.4,3.052361438824782,1.0458020862919974,0.9439956255916285,2.8814158459751638
2014 to 2016,England,Male,8,30 to 34,0.88384920931207,50.0,36.0,5.439240145452956,0.98399154252943,0.9872325946942444,5.369795161960622
2014 to 2016,England,Male,9,35 to 39,0.861447913492524,45.285714285714285,31.7,4.991593831425334,0.9927536923520466,0.9714285236885212,4.848976626514241
2014 to 2016,England,Male,10,40 to 44,0.835076915886981,40.588235294117645,27.6,4.636617579020971,1.0054265971171104,0.964389253747877,4.471504166946322
2014 to 2016,England,Male,11,45 to 49,0.804665610175965,35.75757575757576,23.6,6.141605503490716,0.9375910180941496,0.9696226056920374,5.955039531427225
2014 to 2016,England,Male,12,50 to 54,0.769196816539665,31.587301587301585,19.9,3.968333321468325,1.02729089281453,0.9091094460378994,3.6076493075738068
2014 to 2016,England,Male,13,55 to 59,0.728949787805358,26.88524590163934,16.4,5.414961571500591,0.9505927413343875,0.9339198544863964,5.05714012290526
2014 to 2016,England,Male,14,60 to 64,0.685935357126999,22.586206896551722,13.1,4.984620787537338,0.9398905203842634,0.8877774346628359,4.425233855526943
2014 to 2016,England,Male,15,65 to 69,0.643999046527976,18.727272727272727,10.3,4.5308266276985325,0.9587210352959196,0.8344135950506592,3.780583334969187
2014 to 2016,England,Male,16,70 to 74,0.596553377341024,14.807692307692308,7.7,5.0818578218858175,0.8488001005794755,0.7999698657119582,4.065333119341261
2014 to 2016,England,Male,17,75 to 79,0.540988869777184,11.458333333333334,5.5,4.538453934028302,0.8229045772146525,0.6790145024768596,3.081676040028374
2014 to 2016,England,Male,18,80 to 84,0.48017753847357,8.409090909090908,3.7,4.662519653691554,0.6352881693938037,0.5587641420833377,2.605248794241662
2014 to 2016,England,Male,19,85 to 89,0.417333620704671,5.897435897435897,2.3,3.8129831784015304,0.506224231765489,0.35497624894702284,1.353518465967072
2014 to 2016,England,Male,20,90+,0.339918647403665,4.117647058823529,1.4,4.117647058823529,0.0,0.17969757891820162,0.7399312073102419
2014 to 2016,Northern Ireland,Female,1,<1,0.949956974152784,82.4,61.8,-2.842170943040401e-14,1.0114566284779054,1.0,-2.842170943040401e-14
2014 to 2016,Northern Ireland,Female,2,01 to 04,0.947513229569506,81.46666666666667,61.1,3.925854117141,1.0013996734144677,1.0114566284779054,3.97083116921954
2014 to 2016,Northern Ireland,Female,3,05 to 09,0.941180254900187,77.43243243243244,57.3,7.001749090792558,0.9640701902277702,1.012872337430673,7.091877967694147
2014 to 2016,Northern Ireland,Female,4,10 to 14,0.931782609979042,73.05555555555556,52.6,3.294016404733412,1.0318894332725776,0.9764800270232351,3.216541227909062
2014 to 2016,Northern Ireland,Female,5,15 to 19,0.91628859318105,67.6056338028169,48.0,5.975169393423805,0.9775866768386491,1.0076194216869974,6.020696728683541
2014 to 2016,Northern Ireland,Female,6,20 to 24,0.896135109066728,63.04347826086956,43.5,5.575735543326594,0.9872663492500973,0.9850353219650732,5.492296456112814
2014 to 2016,Northern Ireland,Female,7,25 to 29,0.877616618418491,58.208955223880594,39.0,5.114648976715657,0.9945619325837811,0.9724922261988519,4.973956369591889
2014 to 2016,Northern Ireland,Female,8,30 to 34,0.855350668454821,53.384615384615394,34.7,4.737914979410668,1.0048334837796387,0.9672037479110338,4.582529125369827
2014 to 2016,Northern Ireland,Female,9,35 to 39,0.827600569850033,48.41269841269841,30.5,4.44968489246731,1.0119788017864517,0.9718787115381675,4.324554020041979
2014 to 2016,Northern Ireland,Female,10,40 to 44,0.795325947745464,43.442622950819676,26.5,4.231576518002868,1.0236512121841557,0.9835206539841553,4.161842904370175
2014 to 2016,Northern Ireland,Female,11,45 to 49,0.75864777719044,38.30508474576271,22.6,5.784874910889187,0.9584903951331144,1.0067821096590341,5.824108566898633
2014 to 2016,Northern Ireland,Female,12,50 to 54,0.717572335394443,33.92857142857143,19.0,3.821380324047162,1.0355339615568857,0.9649909821000382,3.687597551880033
2014 to 2016,Northern Ireland,Female,13,55 to 59,0.674917641605281,29.074074074074073,15.7,5.288835164826246,0.962735860612412,0.9992809345607223,5.285032146245182
2014 to 2016,Northern Ireland,Female,14,60 to 64,0.631660786808119,24.705882352941178,12.6,4.88706729133596,0.9707174724051534,0.9620435905278923,4.701571764108268
2014 to 2016,Northern Ireland,Female,15,65 to 69,0.587062278153257,20.416666666666668,9.8,5.5532028805891205,0.8837735224154218,0.933872522540814,5.185983582276677
2014 to 2016,Northern Ireland,Female,16,70 to 74,0.535879694623551,16.818181818181817,7.4,4.950903625380057,0.9128675532924431,0.8253318087328706,4.086138243997049
2014 to 2016,Northern Ireland,Female,17,75 to 79,0.476582947970232,13.0,5.2,4.460343549836942,0.8783646634453431,0.7534186288924022,3.360505921707219
2014 to 2016,Northern Ireland,Female,18,80 to 84,0.415613213183112,9.722222222222221,3.5,4.067313250357099,0.8225322140894723,0.6617763004005267,2.6916515153913623
2014 to 2016,Northern Ireland,Female,19,85 to 89,0.352823002095267,6.875000000000001,2.2,4.150417049657316,0.5658749204557885,0.5443323256003849,2.259206164851455
2014 to 2016,Northern Ireland,Female,20,90+,0.272969926233496,4.814814814814815,1.3,4.814814814814815,0.0,0.3080240114506322,1.483078573651192
2014 to 2016,Northern Ireland,Male,1,<1,0.952408125719147,78.18181818181819,60.2,4.063332454884915,0.94513505289378,1.0,4.063332454884915
2014 to 2016,Northern Ireland,Male,2,01 to 04,0.946667650867695,78.42105263157895,59.6,3.987491195709424,0.9986613788354588,0.94513505289378,3.7687177021703087
2014 to 2016,Northern Ireland,Male,3,05 to 09,0.938175459053077,74.53333333333333,55.9,3.760976948885059,1.022881713368979,0.9438698751086266,3.549872843030564
2014 to 2016,Northern Ireland,Male,4,10 to 14,0.930532088543542,69.1891891891892,51.2,3.450280186662795,1.0298155272927956,0.9654672350484762,3.3311324719598687
2014 to 2016,Northern Ireland,Male,5,15 to 19,0.919580474504131,63.83561643835616,46.6,6.091752257875314,0.9738276381981331,0.9942531497453639,6.056743869860963
2014 to 2016,Northern Ireland,Male,6,20 to 24,0.899641970847681,59.29577464788732,42.1,5.656861019587502,0.9817201698548241,0.9682311965875825,5.477149313924859
2014 to 2016,Northern Ireland,Male,7,25 to 29,0.883129316806967,54.637681159420296,37.7,5.127185877380356,0.9902099056407988,0.9505320947727011,4.873554732315359
2014 to 2016,Northern Ireland,Male,8,30 to 34,0.863583397689196,50.0,33.5,4.682011854943816,1.00534785987326,0.9412262958734271,4.4068326754642415
2014 to 2016,Northern Ireland,Male,9,35 to 39,0.836720031981169,45.07692307692308,29.3,4.361156743728557,1.0138708612613656,0.9462598422127857,4.1267874921858105
2014 to 2016,Northern Ireland,Male,10,40 to 44,0.805095688634885,40.15873015873016,25.3,5.874145442943217,0.9567791083475425,0.9593852812013209,5.635568677595536
2014 to 2016,Northern Ireland,Male,11,45 to 49,0.76818019052209,35.833333333333336,21.5,3.8084065314119044,1.0376791924644935,0.9179197939095562,3.4958117384374234
2014 to 2016,Northern Ireland,Male,12,50 to 54,0.722492519019597,30.86206896551724,17.9,5.367549121711956,0.9604099941159523,0.9525062704912426,5.1126241956004
2014 to 2016,Northern Ireland,Male,13,55 to 59,0.675339834103968,26.545454545454547,14.6,5.126589975824448,0.9519495364280044,0.9147965416379019,4.68978678027974
2014 to 2016,Northern Ireland,Male,14,60 to 64,0.621707917117523,22.5,11.7,5.124976651158324,0.9459734934369356,0.8708401437381423,4.4630354035493385
2014 to 2016,Northern Ireland,Male,15,65 to 69,0.581382909652602,18.367346938775512,9.0,4.539522159588085,0.9493730445412264,0.8237916929970936,3.7396206452448912
2014 to 2016,Northern Ireland,Male,16,70 to 74,0.537347052734737,14.565217391304348,6.7,4.070503200668995,0.9401514795777504,0.782085627648422,3.1834820505401216
2014 to 2016,Northern Ireland,Male,17,75 to 79,0.485063557947662,11.162790697674419,4.8,4.696979973680411,0.7880206819867698,0.7352789599901576,3.45359055014233
2014 to 2016,Northern Ireland,Male,18,80 to 84,0.425673293163262,8.205128205128204,3.2,4.337132883817271,0.6768991812294133,0.5794150275019668,2.512999969156669
2014 to 2016,Northern Ireland,Male,19,85 to 89,0.369076568008901,5.714285714285714,2.0,4.136196889189244,0.39452220627411766,0.39220555770809934,1.622239407714973
2014 to 2016,Northern Ireland,Male,20,90+,0.304146027599826,4.0,1.2,4.0,0.0,0.15473380193997013,0.6189352077598805
2014 to 2016,Scotland,Female,1,<1,0.937711851896415,81.15384615384616,63.3,-5.684341886080802e-14,1.0111821086261987,1.0,-5.684341886080802e-14
2014 to 2016,Scotland,Female,2,01 to 04,0.935455230282747,80.25641025641026,62.6,4.850642081199808,0.9857799914246529,1.0111821086261987,4.904882487858595
2014 to 2016,Scotland,Female,3,05 to 09,0.930791902544435,76.49350649350649,58.9,4.478754867995264,1.0098009453023715,0.9968030903702966,4.464436693428689
2014 to 2016,Scotland,Female,4,10 to 14,0.922561852951635,71.3157894736842,54.2,4.132766787899129,1.0158723188374759,1.0065727029362508,4.159930236300793
2014 to 2016,Scotland,Female,5,15 to 19,0.907498837671654,66.13333333333334,49.6,7.4516919886168225,0.9498358798590478,1.0225493458103547,7.619722768140393
2014 to 2016,Scotland,Female,6,20 to 24,0.891661303449328,61.78082191780822,45.1,3.5989952701276593,1.02673811731201,0.9712540575770721,3.4955387593121796
2014 to 2016,Scotland,Female,7,25 to 29,0.875903211935321,56.66666666666666,40.8,6.442937117885371,0.9658409528611785,0.9972235625083335,6.425048705714825
2014 to 2016,Scotland,Female,8,30 to 34,0.857670752614517,52.0,36.4,3.101316072669519,1.044584888850094,0.963159355828668,2.9870615907734686
2014 to 2016,Scotland,Female,9,35 to 39,0.836069139374517,46.81159420289855,32.3,5.637603034400023,0.9782473079040429,1.0061017086532171,5.672002045618425
2014 to 2016,Scotland,Female,10,40 to 44,0.81146623802413,42.08955223880597,28.2,5.213418328668304,0.982356026294651,0.9842162879676674,5.131131235064519
2014 to 2016,Scotland,Female,11,45 to 49,0.783994305055736,37.53846153846154,24.4,4.875305164677982,0.9940960635499344,0.9668508016623897,4.713692706817696
