period,country,sex,agecode,age,pi,LE,HLE,u,rho,lx,Lx
2012 to 2014,Northern Ireland,Male,3,05 to 09,0.94639198856387,73.50649350649351,56.6,7.485691656163198,0.9540578302070855,1.0054201946506054,7.526265562034014
2012 to 2014,Northern Ireland,Male,4,10 to 14,0.941024342859057,69.2,51.9,3.442369168619365,1.030945907102154,0.9592290093547421,3.3020203674480606
2012 to 2014,Northern Ireland,Male,5,15 to 19,0.932648321269593,63.78378378378378,47.2,5.9989924588136745,0.9743571370955146,0.9889132211679252,5.932482956207523
2012 to 2014,Northern Ireland,Male,6,20 to 24,0.914979053845617,59.30555555555556,42.7,2.893249551255245,1.0485009754725974,0.9635546550130831,2.7878040732265053
2012 to 2014,Northern Ireland,Male,7,25 to 29,0.899572925357051,53.802816901408455,38.2,5.13451981545272,0.990593657501754,1.0102879957023796,5.1873437332478805
2012 to 2014,Northern Ireland,Male,8,30 to 34,0.880694852403004,49.130434782608695,33.9,6.678511199648611,0.9433760796213352,1.0007848807929365,6.683753034814626
2012 to 2014,Northern Ireland,Male,9,35 to 39,0.851925500130352,45.0,29.7,4.246775397233563,1.0188306150691608,0.9441165173867457,4.0094507981598655
2012 to 2014,Northern Ireland,Male,10,40 to 44,0.819170694528215,40.0,25.6,5.736941318221518,0.9631551058011463,0.9618948121060923,5.518334091354364
2012 to 2014,Northern Ireland,Male,11,45 to 49,0.782419195415222,35.57377049180328,21.7,3.6975282445224344,1.0390598301599832,0.926453899523617,3.4255894607365236
2012 to 2014,Northern Ireland,Male,12,50 to 54,0.734799774572286,30.67796610169492,18.1,5.2651039470892265,0.9681090344611694,0.9626410314900636,5.068405094528378
2012 to 2014,Northern Ireland,Male,13,55 to 59,0.686294496147658,26.25,14.7,5.038565140873644,0.9608598696869204,0.9319414795285497,4.695647852086759
2012 to 2014,Northern Ireland,Male,14,60 to 64,0.629623834667917,22.07547169811321,11.7,5.109123276903887,0.9322169462202924,0.895465168575638,4.575041936426455
2012 to 2014,Northern Ireland,Male,15,65 to 69,0.588938819261099,18.2,9.1,4.59059542874223,0.940650021836934,0.8347678048962206,3.8320812692177757
2012 to 2014,Northern Ireland,Male,16,70 to 74,0.543988450607675,14.46808510638298,6.8,5.077035446750367,0.8412815320087548,0.7852243539043994,3.9866118784242905
2012 to 2014,Northern Ireland,Male,17,75 to 79,0.490506653033353,11.162790697674419,4.8,4.442607672536881,0.8190223061886375,0.6605947474232777,2.934763293340217
2012 to 2014,Northern Ireland,Male,18,80 to 84,0.430239303715083,8.205128205128204,3.2,4.090328716840975,0.720089910450265,0.5410418334907134,2.2130389485393587
2012 to 2014,Northern Ireland,Male,19,85 to 89,0.375155769521654,5.714285714285714,2.0,3.508076571721934,0.5260960263036707,0.38959876542817506,1.3667423013703703
2012 to 2014,Northern Ireland,Male,20,90+,0.314708955801663,4.193548387096774,1.3,4.193548387096774,0.0,0.20496636234457882,0.8595363582192015
2012 to 2014,Scotland,Female,1,<1,0.943156404748609,80.76923076923077,63.0,7.105427357601002e-14,1.011235955056179,1.0,7.105427357601002e-14
2012 to 2014,Scotland,Female,2,01 to 04,0.941103138874494,79.87179487179488,62.3,4.668049656902056,0.9898612618028627,1.011235955056179,4.720499653047019
2012 to 2014,Scotland,Female,3,05 to 09,0.935781117299336,75.97402597402598,58.5,8.178874912417939,0.9433462578145831,1.0009832984523321,8.186917187461138
