period,country,sex,age,agecode,hle,prop
2011 to 2013,Northern Ireland,Female,75 to 79,17,5,39
2011 to 2013,Northern Ireland,Female,80 to 84,18,3.3,35
2011 to 2013,Northern Ireland,Female,85 to 89,19,2.1,31
2011 to 2013,Northern Ireland,Female,90+,20,1.2,27
2012 to 2014,Northern Ireland,Male,<1,1,61,78
2012 to 2014,Northern Ireland,Male,01 to 04,2,60.3,78
2012 to 2014,Northern Ireland,Male,05 to 09,3,56.6,77
2012 to 2014,Northern Ireland,Male,10 to 14,4,51.9,75
2012 to 2014,Northern Ireland,Male,15 to 19,5,47.2,74
2012 to 2014,Northern Ireland,Male,20 to 24,6,42.7,72
2012 to 2014,Northern Ireland,Male,25 to 29,7,38.2,71
2012 to 2014,Northern Ireland,Male,30 to 34,8,33.9,69
2012 to 2014,Northern Ireland,Male,35 to 39,9,29.7,66
2012 to 2014,Northern Ireland,Male,40 to 44,10,25.6,64
2012 to 2014,Northern Ireland,Male,45 to 49,11,21.7,61
2012 to 2014,Northern Ireland,Male,50 to 54,12,18.1,59
2012 to 2014,Northern Ireland,Male,55 to 59,13,14.7,56
2012 to 2014,Northern Ireland,Male,60 to 64,14,11.7,53
2012 to 2014,Northern Ireland,Male,65 to 69,15,9.1,50
2012 to 2014,Northern Ireland,Male,70 to 74,16,6.8,47
2012 to 2014,Northern Ireland,Male,75 to 79,17,4.8,43
2012 to 2014,Northern Ireland,Male,80 to 84,18,3.2,39
2012 to 2014,Northern Ireland,Male,85 to 89,19,2,35
2012 to 2014,Northern Ireland,Male,90+,20,1.3,31
2012 to 2014,Northern Ireland,Female,<1,1,62.5,76
2012 to 2014,Northern Ireland,Female,01 to 04,2,61.8,76
2012 to 2014,Northern Ireland,Female,05 to 09,3,58,75
2012 to 2014,Northern Ireland,Female,10 to 14,4,53.3,73
2012 to 2014,Northern Ireland,Female,15 to 19,5,48.6,72
2012 to 2014,Northern Ireland,Female,20 to 24,6,44,70
2012 to 2014,Northern Ireland,Female,25 to 29,7,39.5,68
2012 to 2014,Northern Ireland,Female,30 to 34,8,35.1,66
2012 to 2014,Northern Ireland,Female,35 to 39,9,30.8,64
2012 to 2014,Northern Ireland,Female,40 to 44,10,26.7,62
2012 to 2014,Northern Ireland,Female,45 to 49,11,22.7,59
2012 to 2014,Northern Ireland,Female,50 to 54,12,19.1,57
2012 to 2014,Northern Ireland,Female,55 to 59,13,15.7,54
2012 to 2014,Northern Ireland,Female,60 to 64,14,12.6,51
2012 to 2014,Northern Ireland,Female,65 to 69,15,9.8,48
2012 to 2014,Northern Ireland,Female,70 to 74,16,7.3,44
2012 to 2014,Northern Ireland,Female,75 to 79,17,5.1,40
2012 to 2014,Northern Ireland,Female,80 to 84,18,3.4,36
2012 to 2014,Northern Ireland,Female,85 to 89,19,2.1,32
2012 to 2014,Northern Ireland,Female,90+,20,1.3,27
2013 to 2015,Northern Ireland,Male,<1,1,61.2,78
2013 to 2015,Northern Ireland,Male,01 to 04,2,60.6,78
2013 to 2015,Northern Ireland,Male,05 to 09,3,56.8,77
2013 to 2015,Northern Ireland,Male,10 to 14,4,52.2,76
2013 to 2015,Northern Ireland,Male,15 to 19,5,47.5,74
2013 to 2015,Northern Ireland,Male,20 to 24,6,43,73
2013 to 2015,Northern Ireland,Male,25 to 29,7,38.6,71
2013 to 2015,Northern Ireland,Male,30 to 34,8,34.3,69
2013 to 2015,Northern Ireland,Male,35 to 39,9,30.1,67
2013 to 2015,Northern Ireland,Male,40 to 44,10,26.1,65
2013 to 2015,Northern Ireland,Male,45 to 49,11,22.2,63
2013 to 2015,Northern Ireland,Male,50 to 54,12,18.6,60
2013 to 2015,Northern Ireland,Male,55 to 59,13,15.2,57
2013 to 2015,Northern Ireland,Male,60 to 64,14,12.1,55
2013 to 2015,Northern Ireland,Male,65 to 69,15,9.4,52
2013 to 2015,Northern Ireland,Male,70 to 74,16,7.1,49
2013 to 2015,Northern Ireland,Male,75 to 79,17,5,45
2013 to 2015,Northern Ireland,Male,80 to 84,18,3.4,41
2013 to 2015,Northern Ireland,Male,85 to 89,19,2.2,37
2013 to 2015,Northern Ireland,Male,90+,20,1.4,33
2013 to 2015,Northern Ireland,Female,<1,1,61.7,75
2013 to 2015,Northern Ireland,Female,01 to 04,2,61,75
2013 to 2015,Northern Ireland,Female,05 to 09,3,57.2,74
2013 to 2015,Northern Ireland,Female,10 to 14,4,52.5,72
2013 to 2015,Northern Ireland,Female,15 to 19,5,47.9,71
2013 to 2015,Northern Ireland,Female,20 to 24,6,43.3,69
2013 to 2015,Northern Ireland,Female,25 to 29,7,38.9,67
2013 to 2015,Northern Ireland,Female,30 to 34,8,34.5,65
2013 to 2015,Northern Ireland,Female,35 to 39,9,30.3,63
2013 to 2015,Northern Ireland,Female,40 to 44,10,26.3,61
2013 to 2015,Northern Ireland,Female,45 to 49,11,22.4,58
2013 to 2015,Northern Ireland,Female,50 to 54,12,18.8,56
2013 to 2015,Northern Ireland,Female,55 to 59,13,15.5,53
2013 to 2015,Northern Ireland,Female,60 to 64,14,12.4,50
2013 to 2015,Northern Ireland,Female,65 to 69,15,9.7,47
2013 to 2015,Northern Ireland,Female,70 to 74,16,7.2,44
2013 to 2015,Northern Ireland,Female,75 to 79,17,5.1,40
2013 to 2015,Northern Ireland,Female,80 to 84,18,3.4,36
2013 to 2015,Northern Ireland,Female,85 to 89,19,2.1,31
2013 to 2015,Northern Ireland,Female,90+,20,1.2,27
2014 to 2016,Northern Ireland,Male,<1,1,60.2,77
2014 to 2016,Northern Ireland,Male,01 to 04,2,59.6,76
2014 to 2016,Northern Ireland,Male,05 to 09,3,55.9,75
2014 to 2016,Northern Ireland,Male,10 to 14,4,51.2,74
2014 to 2016,Northern Ireland,Male,15 to 19,5,46.6,73
2014 to 2016,Northern Ireland,Male,20 to 24,6,42.1,71
2014 to 2016,Northern Ireland,Male,25 to 29,7,37.7,69
2014 to 2016,Northern Ireland,Male,30 to 34,8,33.5,67
2014 to 2016,Northern Ireland,Male,35 to 39,9,29.3,65
2014 to 2016,Northern Ireland,Male,40 to 44,10,25.3,63
2014 to 2016,Northern Ireland,Male,45 to 49,11,21.5,60
2014 to 2016,Northern Ireland,Male,50 to 54,12,17.9,58
2014 to 2016,Northern Ireland,Male,55 to 59,13,14.6,55
2014 to 2016,Northern Ireland,Male,60 to 64,14,11.7,52
2014 to 2016,Northern Ireland,Male,65 to 69,15,9,49
2014 to 2016,Northern Ireland,Male,70 to 74,16,6.7,46
2014 to 2016,Northern Ireland,Male,75 to 79,17,4.8,43
2014 to 2016,Northern Ireland,Male,80 to 84,18,3.2,39
2014 to 2016,Northern Ireland,Male,85 to 89,19,2,35
2014 to 2016,Northern Ireland,Male,90+,20,1.2,30
2014 to 2016,Northern Ireland,Female,<1,1,61.8,75
2014 to 2016,Northern Ireland,Female,01 to 04,2,61.1,75
2014 to 2016,Northern Ireland,Female,05 to 09,3,57.3,74
2014 to 2016,Northern Ireland,Female,10 to 14,4,52.6,72
2014 to 2016,Northern Ireland,Female,15 to 19,5,48,71
2014 to 2016,Northern Ireland,Female,20 to 24,6,43.5,69
2014 to 2016,Northern Ireland,Female,25 to 29,7,39,67
2014 to 2016,Northern Ireland,Female,30 to 34,8,34.7,65
2014 to 2016,Northern Ireland,Female,35 to 39,9,30.5,63
2014 to 2016,Northern Ireland,Female,40 to 44,10,26.5,61
2014 to 2016,Northern Ireland,Female,45 to 49,11,22.6,59
2014 to 2016,Northern Ireland,Female,50 to 54,12,19,56
2014 to 2016,Northern Ireland,Female,55 to 59,13,15.7,54
2014 to 2016,Northern Ireland,Female,60 to 64,14,12.6,51
2014 to 2016,Northern Ireland,Female,65 to 69,15,9.8,48
2014 to 2016,Northern Ireland,Female,70 to 74,16,7.4,44
2014 to 2016,Northern Ireland,Female,75 to 79,17,5.2,40
2014 to 2016,Northern Ireland,Female,80 to 84,18,3.5,36
2014 to 2016,Northern Ireland,Female,85 to 89,19,2.2,32
2014 to 2016,Northern Ireland,Female,90+,20,1.3,27
2015 to 2017,Northern Ireland,Male,<1,1,61.3,78
2015 to 2017,Northern Ireland,Male,01 to 04,2,60.7,78
2015 to 2017,Northern Ireland,Male,05 to 09,3,56.9,77
2015 to 2017,Northern Ireland,Male,10 to 14,4,52.2,76
2015 to 2017,Northern Ireland,Male,15 to 19,5,47.6,74
2015 to 2017,Northern Ireland,Male,20 to 24,6,43,73
2015 to 2017,Northern Ireland,Male,25 to 29,7,38.7,71
2015 to 2017,Northern Ireland,Male,30 to 34,8,34.4,69
2015 to 2017,Northern Ireland,Male,35 to 39,9,30.3,67
2015 to 2017,Northern Ireland,Male,40 to 44,10,26.2,65
2015 to 2017,Northern Ireland,Male,45 to 49,11,22.4,63
2015 to 2017,Northern Ireland,Male,50 to 54,12,18.8,61
2015 to 2017,Northern Ireland,Male,55 to 59,13,15.4,58
2015 to 2017,Northern Ireland,Male,60 to 64,14,12.3,55
2015 to 2017,Northern Ireland,Male,65 to 69,15,9.6,53
2015 to 2017,Northern Ireland,Male,70 to 74,16,7.2,50
2015 to 2017,Northern Ireland,Male,75 to 79,17,5.1,46
2015 to 2017,Northern Ireland,Male,80 to 84,18,3.5,42
2015 to 2017,Northern Ireland,Male,85 to 89,19,2.2,38
2015 to 2017,Northern Ireland,Male,90+,20,1.3,34
2015 to 2017,Northern Ireland,Female,<1,1,62,75
2015 to 2017,Northern Ireland,Female,01 to 04,2,61.3,75
2015 to 2017,Northern Ireland,Female,05 to 09,3,57.5,74
2015 to 2017,Northern Ireland,Female,10 to 14,4,52.8,73
2015 to 2017,Northern Ireland,Female,15 to 19,5,48.2,71
2015 to 2017,Northern Ireland,Female,20 to 24,6,43.6,69
2015 to 2017,Northern Ireland,Female,25 to 29,7,39.2,68
2015 to 2017,Northern Ireland,Female,30 to 34,8,34.9,66
2015 to 2017,Northern Ireland,Female,35 to 39,9,30.7,64
2015 to 2017,Northern Ireland,Female,40 to 44,10,26.6,61
2015 to 2017,Northern Ireland,Female,45 to 49,11,22.8,59
2015 to 2017,Northern Ireland,Female,50 to 54,12,19.1,57
2015 to 2017,Northern Ireland,Female,55 to 59,13,15.8,54
2015 to 2017,Northern Ireland,Female,60 to 64,14,12.7,51
2015 to 2017,Northern Ireland,Female,65 to 69,15,9.9,48
2015 to 2017,Northern Ireland,Female,70 to 74,16,7.4,45
2015 to 2017,Northern Ireland,Female,75 to 79,17,5.3,41
2015 to 2017,Northern Ireland,Female,80 to 84,18,3.5,37
2015 to 2017,Northern Ireland,Female,85 to 89,19,2.2,33
2015 to 2017,Northern Ireland,Female,90+,20,1.3,28
2016 to 2018,Northern Ireland,Male,<1,1,61.3,78
2016 to 2018,Northern Ireland,Male,01 to 04,2,60.6,78
2016 to 2018,Northern Ireland,Male,05 to 09,3,56.8,77
2016 to 2018,Northern Ireland,Male,10 to 14,4,52.1,75
2016 to 2018,Northern Ireland,Male,15 to 19,5,47.5,74
2016 to 2018,Northern Ireland,Male,20 to 24,6,42.9,72
2016 to 2018,Northern Ireland,Male,25 to 29,7,38.6,71
2016 to 2018,Northern Ireland,Male,30 to 34,8,34.3,69
2016 to 2018,Northern Ireland,Male,35 to 39,9,30.1,67
2016 to 2018,Northern Ireland,Male,40 to 44,10,26.1,65
2016 to 2018,Northern Ireland,Male,45 to 49,11,22.2,62
2016 to 2018,Northern Ireland,Male,50 to 54,12,18.6,60
2016 to 2018,Northern Ireland,Male,55 to 59,13,15.3,57
2016 to 2018,Northern Ireland,Male,60 to 64,14,12.2,54
2016 to 2018,Northern Ireland,Male,65 to 69,15,9.5,52
2016 to 2018,Northern Ireland,Male,70 to 74,16,7.1,48
2016 to 2018,Northern Ireland,Male,75 to 79,17,5,45
2016 to 2018,Northern Ireland,Male,80 to 84,18,3.4,41
2016 to 2018,Northern Ireland,Male,85 to 89,19,2.1,37
2016 to 2018,Northern Ireland,Male,90+,20,1.3,32
2016 to 2018,Northern Ireland,Female,<1,1,61.8,75
2016 to 2018,Northern Ireland,Female,01 to 04,2,61.1,75
2016 to 2018,Northern Ireland,Female,05 to 09,3,57.3,74
2016 to 2018,Northern Ireland,Female,10 to 14,4,52.5,72
2016 to 2018,Northern Ireland,Female,15 to 19,5,47.9,71
2016 to 2018,Northern Ireland,Female,20 to 24,6,43.3,69
2016 to 2018,Northern Ireland,Female,25 to 29,7,38.9,67
2016 to 2018,Northern Ireland,Female,30 to 34,8,34.5,65
2016 to 2018,Northern Ireland,Female,35 to 39,9,30.3,63
2016 to 2018,Northern Ireland,Female,40 to 44,10,26.3,61
2016 to 2018,Northern Ireland,Female,45 to 49,11,22.4,58
2016 to 2018,Northern Ireland,Female,50 to 54,12,18.8,56
2016 to 2018,Northern Ireland,Female,55 to 59,13,15.5,53
2016 to 2018,Northern Ireland,Female,60 to 64,14,12.4,50
2016 to 2018,Northern Ireland,Female,65 to 69,15,9.7,47
2016 to 2018,Northern Ireland,Female,70 to 74,16,7.2,43
2016 to 2018,Northern Ireland,Female,75 to 79,17,5.1,39
2016 to 2018,Northern Ireland,Female,80 to 84,18,3.4,35
2016 to 2018,Northern Ireland,Female,85 to 89,19,2,31
2016 to 2018,Northern Ireland,Female,90+,20,1.2,26
2017 to 2019,Northern Ireland,Male,<1,1,60.7,77
2017 to 2019,Northern Ireland,Male,01 to 04,2,60,77
2017 to 2019,Northern Ireland,Male,05 to 09,3,56.2,76
2017 to 2019,Northern Ireland,Male,10 to 14,4,51.5,74
2017 to 2019,Northern Ireland,Male,15 to 19,5,46.9,73
2017 to 2019,Northern Ireland,Male,20 to 24,6,42.4,71
2017 to 2019,Northern Ireland,Male,25 to 29,7,38,70
2017 to 2019,Northern Ireland,Male,30 to 34,8,33.8,68
2017 to 2019,Northern Ireland,Male,35 to 39,9,29.7,66
2017 to 2019,Northern Ireland,Male,40 to 44,10,25.7,63
2017 to 2019,Northern Ireland,Male,45 to 49,11,21.9,61
2017 to 2019,Northern Ireland,Male,50 to 54,12,18.3,58
2017 to 2019,Northern Ireland,Male,55 to 59,13,15,56
2017 to 2019,Northern Ireland,Male,60 to 64,14,12,53
2017 to 2019,Northern Ireland,Male,65 to 69,15,9.3,50
2017 to 2019,Northern Ireland,Male,70 to 74,16,6.9,47
2017 to 2019,Northern Ireland,Male,75 to 79,17,4.9,43
2017 to 2019,Northern Ireland,Male,80 to 84,18,3.2,39
2017 to 2019,Northern Ireland,Male,85 to 89,19,2,35
2017 to 2019,Northern Ireland,Male,90+,20,1.2,30
2017 to 2019,Northern Ireland,Female,<1,1,61.9,75
2017 to 2019,Northern Ireland,Female,01 to 04,2,61.2,75
2017 to 2019,Northern Ireland,Female,05 to 09,3,57.4,74
2017 to 2019,Northern Ireland,Female,10 to 14,4,52.7,72
2017 to 2019,Northern Ireland,Female,15 to 19,5,48,71
2017 to 2019,Northern Ireland,Female,20 to 24,6,43.4,69
2017 to 2019,Northern Ireland,Female,25 to 29,7,39,67
2017 to 2019,Northern Ireland,Female,30 to 34,8,34.7,65
2017 to 2019,Northern Ireland,Female,35 to 39,9,30.5,63
2017 to 2019,Northern Ireland,Female,40 to 44,10,26.4,61
2017 to 2019,Northern Ireland,Female,45 to 49,11,22.6,58
2017 to 2019,Northern Ireland,Female,50 to 54,12,19,56
2017 to 2019,Northern Ireland,Female,55 to 59,13,15.6,53
2017 to 2019,Northern Ireland,Female,60 to 64,14,12.6,50
2017 to 2019,Northern Ireland,Female,65 to 69,15,9.8,47
2017 to 2019,Northern Ireland,Female,70 to 74,16,7.3,44
2017 to 2019,Northern Ireland,Female,75 to 79,17,5.2,40
2017 to 2019,Northern Ireland,Female,80 to 84,18,3.4,35
2017 to 2019,Northern Ireland,Female,85 to 89,19,2.1,31
2017 to 2019,Northern Ireland,Female,90+,20,1.2,26
2018 to 2020,Northern Ireland,Male,<1,1,61.2,78
2018 to 2020,Northern Ireland,Male,01 to 04,2,60.5,77
2018 to 2020,Northern Ireland,Male,05 to 09,3,56.7,76
2018 to 2020,Northern Ireland,Male,10 to 14,4,52,75
2018 to 2020,Northern Ireland,Male,15 to 19,5,47.3,74
2018 to 2020,Northern Ireland,Male,20 to 24,6,42.7,72
2018 to 2020,Northern Ireland,Male,25 to 29,7,38.4,70
2018 to 2020,Northern Ireland,Male,30 to 34,8,34.1,68
2018 to 2020,Northern Ireland,Male,35 to 39,9,30,66
2018 to 2020,Northern Ireland,Male,40 to 44,10,26,64
2018 to 2020,Northern Ireland,Male,45 to 49,11,22.1,62
2018 to 2020,Northern Ireland,Male,50 to 54,12,18.5,59
2018 to 2020,Northern Ireland,Male,55 to 59,13,15.1,57
2018 to 2020,Northern Ireland,Male,60 to 64,14,12.1,54
2018 to 2020,Northern Ireland,Male,65 to 69,15,9.4,51
2018 to 2020,Northern Ireland,Male,70 to 74,16,7,48
2018 to 2020,Northern Ireland,Male,75 to 79,17,5,44
2018 to 2020,Northern Ireland,Male,80 to 84,18,3.3,40
2018 to 2020,Northern Ireland,Male,85 to 89,19,2,36
2018 to 2020,Northern Ireland,Male,90+,20,1.2,31
2018 to 2020,Northern Ireland,Female,<1,1,62.1,75
2018 to 2020,Northern Ireland,Female,01 to 04,2,61.4,75
2018 to 2020,Northern Ireland,Female,05 to 09,3,57.7,74
2018 to 2020,Northern Ireland,Female,10 to 14,4,53,73
2018 to 2020,Northern Ireland,Female,15 to 19,5,48.4,71
2018 to 2020,Northern Ireland,Female,20 to 24,6,43.8,70
2018 to 2020,Northern Ireland,Female,25 to 29,7,39.4,68
2018 to 2020,Northern Ireland,Female,30 to 34,8,35.1,66
2018 to 2020,Northern Ireland,Female,35 to 39,9,31,64
2018 to 2020,Northern Ireland,Female,40 to 44,10,26.9,62
2018 to 2020,Northern Ireland,Female,45 to 49,11,23.1,60
2018 to 2020,Northern Ireland,Female,50 to 54,12,19.5,57
2018 to 2020,Northern Ireland,Female,55 to 59,13,16.1,55
2018 to 2020,Northern Ireland,Female,60 to 64,14,13.1,52
2018 to 2020,Northern Ireland,Female,65 to 69,15,10.2,49
2018 to 2020,Northern Ireland,Female,70 to 74,16,7.7,46
2018 to 2020,Northern Ireland,Female,75 to 79,17,5.5,43
2018 to 2020,Northern Ireland,Female,80 to 84,18,3.7,39
2018 to 2020,Northern Ireland,Female,85 to 89,19,2.3,34
2018 to 2020,Northern Ireland,Female,90+,20,1.4,30
2019 to 2021,Northern Ireland,Male,<1,1,60.9,78
2019 to 2021,Northern Ireland,Male,01 to 04,2,60.2,77
2019 to 2021,Northern Ireland,Male,05 to 09,3,56.5,76
2019 to 2021,Northern Ireland,Male,10 to 14,4,51.8,75
2019 to 2021,Northern Ireland,Male,15 to 19,5,47.2,74
2019 to 2021,Northern Ireland,Male,20 to 24,6,42.8,72
2019 to 2021,Northern Ireland,Male,25 to 29,7,38.5,71
2019 to 2021,Northern Ireland,Male,30 to 34,8,34.3,69
2019 to 2021,Northern Ireland,Male,35 to 39,9,30.2,67
2019 to 2021,Northern Ireland,Male,40 to 44,10,26.3,65
2019 to 2021,Northern Ireland,Male,45 to 49,11,22.5,63
2019 to 2021,Northern Ireland,Male,50 to 54,12,18.9,61
2019 to 2021,Northern Ireland,Male,55 to 59,13,15.6,58
2019 to 2021,Northern Ireland,Male,60 to 64,14,12.5,56
2019 to 2021,Northern Ireland,Male,65 to 69,15,9.8,53
2019 to 2021,Northern Ireland,Male,70 to 74,16,7.3,50
2019 to 2021,Northern Ireland,Male,75 to 79,17,5.2,47
2019 to 2021,Northern Ireland,Male,80 to 84,18,3.5,43
2019 to 2021,Northern Ireland,Male,85 to 89,19,2.2,39
2019 to 2021,Northern Ireland,Male,90+,20,1.3,34
2019 to 2021,Northern Ireland,Female,<1,1,61.8,75
2019 to 2021,Northern Ireland,Female,01 to 04,2,61.1,75
2019 to 2021,Northern Ireland,Female,05 to 09,3,57.4,74
2019 to 2021,Northern Ireland,Female,10 to 14,4,52.7,73
2019 to 2021,Northern Ireland,Female,15 to 19,5,48.2,71
2019 to 2021,Northern Ireland,Female,20 to 24,6,43.7,70
2019 to 2021,Northern Ireland,Female,25 to 29,7,39.3,68
2019 to 2021,Northern Ireland,Female,30 to 34,8,35.1,66
2019 to 2021,Northern Ireland,Female,35 to 39,9,31,64
2019 to 2021,Northern Ireland,Female,40 to 44,10,27,62
2019 to 2021,Northern Ireland,Female,45 to 49,11,23.1,60
2019 to 2021,Northern Ireland,Female,50 to 54,12,19.6,58
2019 to 2021,Northern Ireland,Female,55 to 59,13,16.2,55
2019 to 2021,Northern Ireland,Female,60 to 64,14,13.2,53
2019 to 2021,Northern Ireland,Female,65 to 69,15,10.4,50
2019 to 2021,Northern Ireland,Female,70 to 74,16,7.8,47
2019 to 2021,Northern Ireland,Female,75 to 79,17,5.6,43
2019 to 2021,Northern Ireland,Female,80 to 84,18,3.8,40
2019 to 2021,Northern Ireland,Female,85 to 89,19,2.4,35
2019 to 2021,Northern Ireland,Female,90+,20,1.4,31
2020 to 2022,Northern Ireland,Male,<1,1,60.8,78
2020 to 2022,Northern Ireland,Male,01 to 04,2,60.2,77
2020 to 2022,Northern Ireland,Male,05 to 09,3,56.4,76
2020 to 2022,Northern Ireland,Male,10 to 14,4,51.8,75
2020 to 2022,Northern Ireland,Male,15 to 19,5,47.2,74
2020 to 2022,Northern Ireland,Male,20 to 24,6,42.7,72
2020 to 2022,Northern Ireland,Male,25 to 29,7,38.4,71
2020 to 2022,Northern Ireland,Male,30 to 34,8,34.2,69
2020 to 2022,Northern Ireland,Male,35 to 39,9,30.1,67
2020 to 2022,Northern Ireland,Male,40 to 44,10,26.2,65
2020 to 2022,Northern Ireland,Male,45 to 49,11,22.4,63
2020 to 2022,Northern Ireland,Male,50 to 54,12,18.8,61
2020 to 2022,Northern Ireland,Male,55 to 59,13,15.5,58
2020 to 2022,Northern Ireland,Male,60 to 64,14,12.5,56
2020 to 2022,Northern Ireland,Male,65 to 69,15,9.7,53
2020 to 2022,Northern Ireland,Male,70 to 74,16,7.3,50
2020 to 2022,Northern Ireland,Male,75 to 79,17,5.2,47
2020 to 2022,Northern Ireland,Male,80 to 84,18,3.5,43
2020 to 2022,Northern Ireland,Male,85 to 89,19,2.2,39
2020 to 2022,Northern Ireland,Male,90+,20,1.3,34
2020 to 2022,Northern Ireland,Female,<1,1,61,74
2020 to 2022,Northern Ireland,Female,01 to 04,2,60.3,74
2020 to 2022,Northern Ireland,Female,05 to 09,3,56.6,73
2020 to 2022,Northern Ireland,Female,10 to 14,4,51.9,72
2020 to 2022,Northern Ireland,Female,15 to 19,5,47.4,70
2020 to 2022,Northern Ireland,Female,20 to 24,6,42.9,68
2020 to 2022,Northern Ireland,Female,25 to 29,7,38.6,67
2020 to 2022,Northern Ireland,Female,30 to 34,8,34.4,65
2020 to 2022,Northern Ireland,Female,35 to 39,9,30.3,63
2020 to 2022,Northern Ireland,Female,40 to 44,10,26.4,61
2020 to 2022,Northern Ireland,Female,45 to 49,11,22.6,59
2020 to 2022,Northern Ireland,Female,50 to 54,12,19,56
2020 to 2022,Northern Ireland,Female,55 to 59,13,15.7,54
2020 to 2022,Northern Ireland,Female,60 to 64,14,12.7,51
2020 to 2022,Northern Ireland,Female,65 to 69,15,10,49
2020 to 2022,Northern Ireland,Female,70 to 74,16,7.5,45
2020 to 2022,Northern Ireland,Female,75 to 79,17,5.3,42
2020 to 2022,Northern Ireland,Female,80 to 84,18,3.6,38
2020 to 2022,Northern Ireland,Female,85 to 89,19,2.2,33
2020 to 2022,Northern Ireland,Female,90+,20,1.3,29
2021 to 2023,Northern Ireland,Male,<1,1,60.6,77
2021 to 2023,Northern Ireland,Male,01 to 04,2,60,77
2021 to 2023,Northern Ireland,Male,05 to 09,3,56.2,76
2021 to 2023,Northern Ireland,Male,10 to 14,4,51.6,75
2021 to 2023,Northern Ireland,Male,15 to 19,5,47,73
2021 to 2023,Northern Ireland,Male,20 to 24,6,42.5,72
2021 to 2023,Northern Ireland,Male,25 to 29,7,38.2,70
2021 to 2023,Northern Ireland,Male,30 to 34,8,34,68
2021 to 2023,Northern Ireland,Male,35 to 39,9,29.9,66
2021 to 2023,Northern Ireland,Male,40 to 44,10,26,64
2021 to 2023,Northern Ireland,Male,45 to 49,11,22.2,62
2021 to 2023,Northern Ireland,Male,50 to 54,12,18.7,60
2021 to 2023,Northern Ireland,Male,55 to 59,13,15.4,57
2021 to 2023,Northern Ireland,Male,60 to 64,14,12.4,55
2021 to 2023,Northern Ireland,Male,65 to 69,15,9.6,52
2021 to 2023,Northern Ireland,Male,70 to 74,16,7.2,49
2021 to 2023,Northern Ireland,Male,75 to 79,17,5.1,46
2021 to 2023,Northern Ireland,Male,80 to 84,18,3.4,42
2021 to 2023,Northern Ireland,Male,85 to 89,19,2.2,37
2021 to 2023,Northern Ireland,Male,90+,20,1.3,32
2021 to 2023,Northern Ireland,Female,<1,1,60.2,73
2021 to 2023,Northern Ireland,Female,01 to 04,2,59.5,73
2021 to 2023,Northern Ireland,Female,05 to 09,3,55.8,72
2021 to 2023,Northern Ireland,Female,10 to 14,4,51.3,70
2021 to 2023,Northern Ireland,Female,15 to 19,5,46.8,69
2021 to 2023,Northern Ireland,Female,20 to 24,6,42.4,67
2021 to 2023,Northern Ireland,Female,25 to 29,7,38.1,66
2021 to 2023,Northern Ireland,Female,30 to 34,8,34,64
2021 to 2023,Northern Ireland,Female,35 to 39,9,29.9,62
2021 to 2023,Northern Ireland,Female,40 to 44,10,26.1,60
2021 to 2023,Northern Ireland,Female,45 to 49,11,22.3,58
2021 to 2023,Northern Ireland,Female,50 to 54,12,18.8,56
2021 to 2023,Northern Ireland,Female,55 to 59,13,15.6,53
2021 to 2023,Northern Ireland,Female,60 to 64,14,12.6,51
2021 to 2023,Northern Ireland,Female,65 to 69,15,9.9,48
2021 to 2023,Northern Ireland,Female,70 to 74,16,7.5,45
2021 to 2023,Northern Ireland,Female,75 to 79,17,5.4,41
2021 to 2023,Northern Ireland,Female,80 to 84,18,3.6,37
2021 to 2023,Northern Ireland,Female,85 to 89,19,2.2,33
2021 to 2023,Northern Ireland,Female,90+,20,1.3,29
2022 to 2024,Northern Ireland,Male,<1,1,60.8,77
2022 to 2024,Northern Ireland,Male,01 to 04,2,60.2,77
2022 to 2024,Northern Ireland,Male,05 to 09,3,56.4,76
2022 to 2024,Northern Ireland,Male,10 to 14,4,51.8,75
2022 to 2024,Northern Ireland,Male,15 to 19,5,47.2,74
2022 to 2024,Northern Ireland,Male,20 to 24,6,42.8,72
2022 to 2024,Northern Ireland,Male,25 to 29,7,38.5,71
2022 to 2024,Northern Ireland,Male,30 to 34,8,34.4,69
2022 to 2024,Northern Ireland,Male,35 to 39,9,30.3,67
2022 to 2024,Northern Ireland,Male,40 to 44,10,26.4,65
2022 to 2024,Northern Ireland,Male,45 to 49,11,22.6,63
2022 to 2024,Northern Ireland,Male,50 to 54,12,19,61
2022 to 2024,Northern Ireland,Male,55 to 59,13,15.7,59
2022 to 2024,Northern Ireland,Male,60 to 64,14,12.7,56
2022 to 2024,Northern Ireland,Male,65 to 69,15,9.9,53
2022 to 2024,Northern Ireland,Male,70 to 74,16,7.5,51
2022 to 2024,Northern Ireland,Male,75 to 79,17,5.4,47
2022 to 2024,Northern Ireland,Male,80 to 84,18,3.7,44
2022 to 2024,Northern Ireland,Male,85 to 89,19,2.3,40
2022 to 2024,Northern Ireland,Male,90+,20,1.4,35
2022 to 2024,Northern Ireland,Female,<1,1,60.7,74
2022 to 2024,Northern Ireland,Female,01 to 04,2,60,73
2022 to 2024,Northern Ireland,Female,05 to 09,3,56.3,72
2022 to 2024,Northern Ireland,Female,10 to 14,4,51.8,71
2022 to 2024,Northern Ireland,Female,15 to 19,5,47.3,70
2022 to 2024,Northern Ireland,Female,20 to 24,6,42.9,68
