period,country,sex,age,agecode,hle,prop
2014 to 2016,England,Male,<1,1,63.3,80
2014 to 2016,England,Male,01 to 04,2,62.6,79
2014 to 2016,England,Male,05 to 09,3,58.8,79
2014 to 2016,England,Male,10 to 14,4,54.1,77
2014 to 2016,England,Male,15 to 19,5,49.5,76
2014 to 2016,England,Male,20 to 24,6,44.9,75
2014 to 2016,England,Male,25 to 29,7,40.4,73
2014 to 2016,England,Male,30 to 34,8,36,72
2014 to 2016,England,Male,35 to 39,9,31.7,70
2014 to 2016,England,Male,40 to 44,10,27.6,68
2014 to 2016,England,Male,45 to 49,11,23.6,66
2014 to 2016,England,Male,50 to 54,12,19.9,63
2014 to 2016,England,Male,55 to 59,13,16.4,61
2014 to 2016,England,Male,60 to 64,14,13.1,58
2014 to 2016,England,Male,65 to 69,15,10.3,55
2014 to 2016,England,Male,70 to 74,16,7.7,52
2014 to 2016,England,Male,75 to 79,17,5.5,48
2014 to 2016,England,Male,80 to 84,18,3.7,44
2014 to 2016,England,Male,85 to 89,19,2.3,39
2014 to 2016,England,Male,90+,20,1.4,34
2014 to 2016,England,Female,<1,1,64,77
2014 to 2016,England,Female,01 to 04,2,63.3,77
2014 to 2016,England,Female,05 to 09,3,59.6,76
2014 to 2016,England,Female,10 to 14,4,55,75
2014 to 2016,England,Female,15 to 19,5,50.4,74
2014 to 2016,England,Female,20 to 24,6,45.9,72
2014 to 2016,England,Female,25 to 29,7,41.4,71
2014 to 2016,England,Female,30 to 34,8,37.1,69
2014 to 2016,England,Female,35 to 39,9,32.9,67
2014 to 2016,England,Female,40 to 44,10,28.8,65
2014 to 2016,England,Female,45 to 49,11,24.8,63
2014 to 2016,England,Female,50 to 54,12,21.1,61
2014 to 2016,England,Female,55 to 59,13,17.6,59
2014 to 2016,England,Female,60 to 64,14,14.3,56
2014 to 2016,England,Female,65 to 69,15,11.3,53
2014 to 2016,England,Female,70 to 74,16,8.5,50
2014 to 2016,England,Female,75 to 79,17,6.1,46
2014 to 2016,England,Female,80 to 84,18,4.1,42
2014 to 2016,England,Female,85 to 89,19,2.6,38
2014 to 2016,England,Female,90+,20,1.6,34
